ID casrn SMILES
avflu_x27 6954-59-2 C1=C(C=CC=2C3=CC=CC=C3CC12)NC(=O)C1=C(C=CC=C1)C=1C(=CC=CC1)C(=O)O
avflu_x28 1075687-04-5 O([C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](O1)CO)C1=CC(=CC(=C1)O)CCC1=CC(=C(C=C1)O)O
avflu_x29 1075687-01-2 OC=1OC=2C(=C(C1CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O)C)C=CC(C2O)=O
avflu_x30 1075686-99-5 CC(C[C@H](C(=O)N[C@@H](CCCNC(N)=N)C(=O)O)N1C=NC2=CC=CC=C2C1=O)C
avflu_x31 1075686-90-6 CC(C[C@@H](C(=O)N[C@@H](CCCNC(N)=N)C(=O)O)N1N=NC2=C(C1=O)C=CC=C2)C
avflu_x32 956042-71-0 O=C1C2=C(C3=C(O1)C=C(C=C3)OCC(=O)N[C@@H](CCCNC(N)=N)C(=O)O)CCCC2
avflu_x33 1075687-03-4 CC([C@@H](NC(COC1=CC2=C(C3=C(C(O2)=O)CCC3)C=C1)=O)C(=O)O)CCNC(N)=N
avflu_x34 25698-65-1 C1=CC=CC=2C3=CC(=C4C=CC=CC4=C3C=CC12)N1C(C2=C(C3=C(C1=O)C=CC=C3)C=CC=C2)=O
avflu_x35 1075687-02-3 O=C([C@H](CC1=CC=CC=C1)N1C=NC2=CC=CC=C2C1=O)N[C@@H](CCCNC(N)=N)C(=O)O
avflu_x36 500565-15-1 ClC=1C=C2N=C3C=CC(=CC3=C(C2=CC1)NC1=CC(=C(C=C1)O)CN1CCN(CC1)C)OC
avflu_x37 500338-15-8 O=S1(CCN(CC1)C1=C(C=CC=C1)CC(C1=CNC2=CC=CC=C12)C1=CNC2=CC=CC=C12)=O
avflu_x38 1075686-89-3 OC=1C=C(C=CC1C(CC=1N=C(SC1)C1=CC=CC=C1)=O)OC[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO
avflu_x39 160532-04-7 N[C@@H](C)C(=O)NCCC(=O)NCCCN1C=C(C2=CC=CC=C12)C=1C(NC(C1C1=CN(C2=CC=CC=C12)C)=O)=O
avflu_x40 21170-34-3 BrC1=CC=C(C=C1)S(=O)(=O)OCC([C@H]1CC[C@H]2[C@@H]3CCC4=CC(CC[C@]4(C)[C@H]3CC[C@]12C)=O)=O
avflu_x41 26369-33-5 OCC1OC(CC1O[P](O)(=O)Oc2c[nH]c3ccc(I)cc23)N4C=C(F)C(=O)NC4=O
avflu_x42 1075686-85-9 C([C@H]1[C@@H]([C@H]([C@@H](C=C1C(=O)O)OC(CC)CC)NC(C)=O)N)[C@H]1[C@@H]([C@H]([C@@H](C=C1C(=O)O)OC(CC)CC)NC(C)=O)N
avflu_x43 1075686-91-7 C([C@@H]1[C@@H]([C@H]([C@@H](C=C1C(=O)O)OC(CC)CC)NC(C)=O)N)[C@H]1[C@@H]([C@H]([C@@H](C=C1C(=O)O)OC(CC)CC)NC(C)=O)N
avflu_x44 1075686-88-2 C(C)(=O)N[C@@H]1[C@H](C(=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO)C[C@H]1C(=C[C@H]([C@@H]([C@H]1N)NC(C)=O)OC(CC)CC)C(=O)O)O
avflu_x45 1075686-96-2 C(C1=C(C(=O)O)O[C@H]([C@@H]([C@H]1O)NC(C)=O)[C@H](O)[C@H](O)CO)C1=C(C(=O)O)O[C@H]([C@@H]([C@H]1O)NC(C)=O)[C@H](O)[C@H](O)CO
avflu_x46 1075686-92-8 C(CC1=C(C(=O)O)O[C@H]([C@@H]([C@H]1O)NC(C)=O)[C@H](O)[C@H](O)CO)C1=C(C(=O)O)O[C@H]([C@@H]([C@H]1O)NC(C)=O)[C@H](O)[C@H](O)CO
avflu_x47 1075686-87-1 C(C)(=O)N[C@@H]1[C@H](C(=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO)C[C@H]1C(=C[C@H]([C@@H]([C@H]1N)NC(C)=O)OC(CC)CC)C(=O)O)NC=NN
avflu_x48 1075686-86-0 C(C)(=O)N[C@@H]1[C@H](C(=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO)O[C@H]1C(=C[C@H]([C@@H]([C@H]1N)NC(C)=O)OC(CC)CC)C(=O)O)NC=NN
avflu_x49 1075686-93-9 OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](N=C(N)N)C(=C1C(=O)[O-])CC2=C(C([O-])=[O-])O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](NC(=O)C)[C@H]2N=C(N)N
avflu_x50 1075686-94-0 OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](N=C(N)N)C(=C1C(=O)[O-])CCC2=C(C([O-])=[O-])O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](NC(=O)C)[C@H]2N=C(N)N
avflu_x51 1075686-95-1 OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](N=C(N)N)C(=C1C(=O)[O-])CCCC2=C(C([O-])=[O-])O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](NC(=O)C)[C@H]2N=C(N)N
avflu_x52 57071-83-7 Cl.ONC(=N)C1=CN(C=2N=CN=C(C21)NO)[C@H]2[C@H](O)[C@H](O)[C@H](O2)CO
CWB024 1249398-14-8 C(C)N(CCCC(C)NC1=NC=CC(=N1)NC=1C=C2C=CNC2=CC1)CC
parp_x1 853755-01-8 OC1=C2C=CC(=CC2=CC=C1)C1=C(NC(=C1)O)O
parp_x2 853755-00-7 NC(=O)C=1N=C(SC1)C1=CC(=CC(N1)=O)C(=O)O
parp_x3 853754-99-1 OCC1=C2C=C(NC2=CC=C1)C=1C=CC(NC1)=O
parp_x4 853754-98-0 OC1=CC=CC2=C1C(C(CO2)N2C1=NC(NC(=C1N=C2)C(=O)N)=O)=O
parp_x5 853754-97-9 NC1=CC=C2C(N=C(NC2=C1)NC(=O)N1C(CCC1)=O)=O
parp_x6 853754-96-8 O=C1NC(C=C(N1)CC=1NC(=CN1)C(=O)N)=O
parp_x7 853754-95-7 C(=O)(O)C=C1C=2N=CN(C2NC(N1)=O)CC(=O)O
parp_x8 853754-94-6 C(=O)(O)C=C1C=2N=CN(C2NC(N1)=O)CC(=O)O
parp_x9 853754-93-5 O=C1NC(=CC(=C1)C(=O)O)C=1OC2=C(C(C1)=O)C=CC=C2
parp_x10 853754-92-4 O=C1C=CC=C(N1)C1=CC=C2C(=CC(NC2=C1)=O)C(=O)O
parp_x11 853754-91-3 N1=C(N=CC2=CC=CC=C12)S(=O)N1C(NC(C=C1)=O)=O
parp_x12 853754-90-2 O=C1NC(C=2N=CN(C2N1)C(=O)O)C1C=2N=CNC2NC(N1)=O
parp_x13 853754-89-9 O=C1N(CC(N1)=O)S(=O)C1=CC=C2C(=CC(NC2=C1)=O)C(=O)O
parp_x14 853754-88-8 O=C1NC(=CC2=CC=CC=C12)N1C=2N=C(NC(C2N=C1)=O)CC(=O)O
parp_x15 853754-87-7 O=C1NNC=C1C(=O)N
parp_x16 853754-86-6 O=C1NN(C=C1)C(=O)OCC(=O)O
parp_x17 853754-85-5 O=C1NN(C=C1)C1=CC=C(C(N1)=O)C
parp_x18 853754-84-4 CN1C(NC=2NC(=NC2C1=O)C(=O)N)=O
parp_x19 853754-83-3 OC=1C=C2C=NC=NC2=CC1C(=O)C=1C=CC(NN1)=O
parp_x20 853754-82-2 O=C1NN(C=C1)C=1NC=2C=CC=C(C2C1)C(=O)N
parp_x21 853754-81-1 OC=1C=C(C=CC1)C1=CC=C2C=CC(NC2=C1)=O
parp_x22 853754-80-0 N1=C(C=CC=C1)C=1C=C2C(=CNC2=CC1)C(=O)N
parp_x23 853754-79-7 N1=NN=NC1OC1=NC2=CC=CC=C2C(=N1)CC=1C(NC(NC1)=O)=O
parp_x24 853754-78-6 O=C1NC(=CC(=C1)C(=O)O)N1C=CC2=C1N=CN=C2
parp_x25 853754-77-5 O=C1NN(C=C1)C(=O)OCC(=O)O
parp_x26 853754-76-4 O=C1C2N=CN(C2N=CN1)C1CC(CCC1)C(=O)N
parp_x27 853754-75-3 O=C1NC(=NC=N1)C1=CC(=NC=C1)C(=O)N
parp_x28 853754-74-2 O=C1NC(=NC=N1)C1=CC(=NC=C1)C(=O)N
parp_x29 853754-73-1 N1C(=NC=C1)S(=O)C=1NC2=CC=C(C=C2C1)C(=O)N
parp_x30 853754-72-0 OC=1NC(=CC1C=1C(OC2=C(C1)C=CC=C2O)=O)O
parp_x31 853754-71-9 O=C1C=2N=CNC2N=C(N1)C1=CC(=NC=C1)C(=O)N
parp_x32 853754-70-8 N1(C=NC=C1)CC1=CC=C2C(=CC(NC2=C1)=O)C(=O)O
parp_x33 853754-69-5 O=C1C=CC(=NN1)C(=O)C1=CC(=NN1)NS(=O)(=O)C1=COC=C1
parp_x34 1198-33-0 CN1C=2NC(NC(C2N=C1)=O)=O
cdk2_4a 5461-03-0 NC=1NC=2NC(NC(C2N1)=O)=O
cdk2_4b 769-97-1 O=C1NC(C=C(N1)C(=O)N)=O
cdk2_4c 914810-46-1 N1C=NC=C1CC(=O)C=1NC2N=C(NC(C2N1)=O)CC(=O)O
